id_stasiun,nama,kota,provinsi,p3e,waktu,time_z,lat,lon,tipe_text,is_maintenance,t_pm25,a_pm25,c_pm25,t_pm10,a_pm10,t_so2,t_co,t_o3,t_no2,waktu_utc,pm25_ugm3,sumber_label,i,j,cell_id,diambil_utc
DLH_MEDAN_03,DLH MEDAN 03,Medan,Suamtera Utara,Sumatera,2026-08-03 00:00:00,WIB,3.588320016860962,98.60810089111328,INTEGRASI,0,99.0,54.0,2.0,127.0,101.71,64.0,5.0,4.0,60.0,2026-08-02 17:00:00,54.0,ISPU-langsung,85,350,8500350,2026-08-02 17:05:51
GORONTALO,Gorontalo Taman Kota,Gorontalo,Gorontalo,Sulawesi_Maluku,2026-08-03 01:00:00,WITA,0.5517759919166565,123.05699920654295,KLH/BPLH,0,20.0,6.0,1.0,7.0,2.91,39.0,29.0,57.0,86.0,2026-08-02 17:00:00,6.0,ISPU-langsung,672,277,67200277,2026-08-02 17:05:51
JAKARTA,Jakarta GBK,Jakarta,DKI Jakarta,Jawa,2026-08-03 00:00:00,WIB,-6.215499877929688,106.8030014038086,KLH/BPLH,0,57.0,20.52,2.0,62.0,33.69,2.0,1.0,73.0,85.0,2026-08-02 17:00:00,20.52,ISPU-langsung,282,114,28200114,2026-08-02 17:05:51
JAMBI,Jambi Paal Lima,Jambi,Jambi,Sumatera,2026-08-03 00:00:00,WIB,-1.6297229528427124,103.60739135742188,KLH/BPLH,0,64.0,25.91,2.0,73.0,46.12,,,,,2026-08-02 17:00:00,25.91,ISPU-langsung,205,224,20500224,2026-08-02 17:05:51
KABUPATEN_ACEH_BESAR,Kabupaten Aceh Besar,Kabupaten Aceh Besar,Aceh,Sumatera,2026-08-03 00:00:00,WIB,5.300059795379639,95.60540008544922,KLH/BPLH,0,88.0,45.45,2.0,91.0,64.81,4.0,2.0,110.0,124.0,2026-08-02 17:00:00,45.45,ISPU-langsung,13,391,1300391,2026-08-02 17:05:51
KABUPATEN_ACEH_SELATAN,Kabupaten Aceh Selatan,Kabupaten Aceh Selatan,Aceh,Sumatera,2026-08-03 00:00:00,WIB,3.2544898986816406,97.17410278320312,KLH/BPLH,0,54.0,18.21,2.0,90.0,63.73,,0.0,8.0,12.0,2026-08-02 17:00:00,18.21,ISPU-langsung,51,342,5100342,2026-08-02 17:05:51
KABUPATEN_ACEH_TENGAH,Kabupaten Aceh Tengah,Kabupaten Aceh Tengah,Aceh,Sumatera,2026-08-03 00:00:00,WIB,4.624090194702148,96.84210205078124,KLH/BPLH,0,73.0,33.31,2.0,82.0,55.88,15.0,,4.0,,2026-08-02 17:00:00,33.31,ISPU-langsung,43,374,4300374,2026-08-02 17:05:51
KABUPATEN_BANDUNGBB,Kabupaten Bandung Barat Saguling,Bandung Barat,Jawa Barat,Jawa,2026-08-03 00:00:00,WIB,-6.839240074157715,107.51100158691406,KLH/BPLH,0,69.0,30.16,2.0,82.0,55.98,6.0,57.0,12.0,86.0,2026-08-02 17:00:00,30.16,ISPU-langsung,299,99,29900099,2026-08-02 17:05:51
KABUPATEN_BANJAR,Kabupaten Banjar,Kabupaten Banjar,Kalimantan Selatan,Kalimantan,2026-08-03 01:00:00,WITA,-3.426140069961548,114.87999725341795,KLH/BPLH,0,59.0,22.46,2.0,51.0,22.41,15.0,2.0,5.0,11.0,2026-08-02 17:00:00,22.46,ISPU-langsung,476,181,47600181,2026-08-02 17:05:51
KABUPATEN_BANYUWANGI,Kabupaten Banyuwangi Mojopanggung,Kabupaten Banyuwangi,Jawa Timur,Jawa,2026-08-03 00:00:00,WIB,-8.211389541625977,114.35099792480467,KLH/BPLH,0,39.0,11.82,1.0,32.0,13.6,11.0,6.0,35.0,18.0,2026-08-02 17:00:00,11.82,ISPU-langsung,463,66,46300066,2026-08-02 17:05:51
KABUPATEN_BEKASI,Kabupaten Bekasi Sukamahi,Kabupaten Bekasi,Jawa Barat,Jawa,2026-08-03 00:00:00,WIB,-6.363800048828125,107.1719970703125,KLH/BPLH,0,52.0,16.38,2.0,68.0,39.96,5.0,45.0,60.0,12.0,2026-08-02 17:00:00,16.38,ISPU-langsung,291,111,29100111,2026-08-02 17:05:51
KABUPATEN_BENGKALIS,Kabupaten Bengkalis Sanggoro,Kabupaten Bengkalis,Riau,Sumatera,2026-08-03 00:00:00,WIB,1.482300043106079,102.06400299072266,KLH/BPLH,0,88.0,45.34,2.0,108.0,83.18,70.0,0.0,7.0,70.0,2026-08-02 17:00:00,45.34,ISPU-langsung,168,299,16800299,2026-08-02 17:05:51
